name,ra_deg,dec_deg,vmag,spectral,parallax_mas,pmra_mas,pmdec_mas
HIP 25,0.07936537,-44.29029741,6.28,G3IV,13.74,58.36,-108.64
HIP 34,0.09946973,26.91823821,6.43,F7.5IV-V,12.71,42.2,-53.47
HIP 43,0.129089,59.55973786,6.18,G9III-IV,7.63,-80.6,-24.07
HIP 50,0.14287059,-53.09766277,6.49,G1IV,16.89,52.98,-20.52
HIP 63,0.1817495,45.25333305,6.36,B9p SiEu,4.81,17.38,0.22
HIP 88,0.26915958,-48.80985919,5.71,G8III,5.97,-17.92,-6.75
HIP 106,0.33016464,49.98158501,6.22,G7II-III,4.5,13.29,-11.19
HIP 107,0.33380226,-50.33739907,5.53,M2III,5.84,7.34,10.59
HIP 122,0.39937928,-77.06529438,4.78,K2III,14.77,-56.52,-176.95
HIP 124,0.40424537,61.22280406,5.58,F0III,0.86,-2.8,-1.34
HIP 137,0.43268925,42.36714821,6.25,B9IIIp Mn,2.45,5.11,-1.77
HIP 145,0.45598912,-3.02747891,5.13,B7III-IV,7.98,18.9,-10.25
HIP 154,0.48996506,-6.01397169,4.37,M3III,7.86,46.62,-41.32
HIP 171,0.54018776,27.08448905,5.8,G3V,80.63,778.59,-918.72
HIP 183,0.58297574,-29.72044805,5.04,B4V,6.4,9.66,14.0
HIP 186,0.60069792,8.9568336,6.33,A6V,7.55,-0.87,-4.11
HIP 194,0.62398938,8.48557854,5.7,F0V,26.53,-93.55,-47.5
HIP 207,0.65034249,66.09896341,5.87,G8III,1.57,3.32,1.14
HIP 238,0.7392741,-20.04607402,6.25,F6/F7V,16.16,100.38,78.95
HIP 253,0.78257245,-24.14513788,6.46,K1III,6.78,59.32,-3.14
HIP 274,0.85715406,63.64052431,6.24,B3Ia,0.93,-3.27,-1.83
HIP 301,0.93488487,-17.33597002,4.55,B9IVn,14.31,28.57,-7.28
HIP 302,0.96511407,66.71220273,6.31,M4,3.31,7.86,-8.15
HIP 330,1.05693212,62.2876646,5.9,A1III,0.89,-0.99,-0.37
HIP 343,1.08233885,-16.52888969,5.78,K0III,11.29,53.77,-60.27
HIP 345,1.08457463,-29.26883006,6.38,A1V,7.75,29.15,3.44
HIP 355,1.1255098,-10.50949443,4.99,K3Ibvar,2.03,-6.49,-11.88
HIP 365,1.15248379,42.09256148,6.11,B9III,1.94,-11.94,-12.73
HIP 377,1.17188841,-71.43685835,5.59,B8III,5.7,30.0,-13.62
HIP 379,1.17432297,67.16638761,5.68,K1III,10.3,95.58,23.8
HIP 394,1.22172791,34.65955259,6.09,G2V,27.18,769.11,100.49
HIP 399,1.23302998,26.64879958,6.25,K4IIIb,5.34,112.32,-14.52
HIP 410,1.25472644,27.67479979,6.47,G8II,7.63,83.36,-6.57
HIP 417,1.26581912,-0.50290553,6.32,G9III:,6.95,44.86,-53.47
HIP 418,1.27555231,61.31396468,5.8,B8MNp...,4.5,14.29,2.24
HIP 443,1.33394073,-5.70783255,4.61,K1III,25.38,-8.29,88.19
HIP 476,1.42473238,13.39628227,5.55,G5III,8.75,42.59,-6.51
HIP 518,1.56474395,58.43668966,5.98,G5V,49.3,247.36,17.77
HIP 522,1.5777634,-49.07509405,5.7,G1IV...,39.0,575.21,-39.94
HIP 531,1.61052855,64.19616859,5.57,B9III,3.32,9.7,0.01
HIP 544,1.65221045,29.02193518,6.07,K0V,72.98,379.94,-178.34
HIP 560,1.70843563,-23.10742543,6.19,F2IV,25.59,97.3,-47.09
HIP 602,1.82613856,-17.38703103,6.2,A2IV/V,6.24,-10.77,17.02
HIP 635,1.93373158,-2.54868621,6.43,B8IIIsp...,6.69,30.12,2.77
HIP 636,1.94523194,-22.50847542,5.93,A1V,12.45,70.1,-34.71
HIP 655,2.01465535,-33.52933371,5.67,K1III,10.02,-42.75,3.15
HIP 664,2.05038298,-2.44769895,6.18,K2III,3.25,7.25,-4.87
HIP 671,2.07313617,-8.82402541,5.99,G8III:,9.79,-34.13,-35.67
HIP 677,2.09653333,29.09082805,2.07,B9p,33.6,135.68,-162.95
